Source	ItemID	kText	cText
string	$151	\f1%0%s 손에 달라 붙어 있습니다.	\f1%0%s 已經被詛咒了，所以你無法取下。
string	$152	\f1이상하게도 감각이 예민해진것 같습니다.	\f1你感到心情異常激動。
string	$153	\f3도배를 했기 때문에 앞으로 2분간 채팅을 할 수 없습니다.	\f3因洗畫面的關係，2分鐘之內無法聊天。
string	$154	\f1주문서가 흩어집니다.	\f1這個卷軸散開了。
string	$155	\f1누군가가 도와주는 것같습니다.	\f1你感覺到似乎有人正在幫助你。
string	$156	\f1손이 실룩거립니다.	\f1你的手抽筋。
string	$157	\f1손이 근질거립니다.	\f1你的手癢。
string	$158	\f1%0%s 증발되어 사라집니다.	\f1%0%s 消失。
string	$159	\f1%0%s 잠시 강렬하게 %1 빛나더니 증발되어 사라집니다.	\f1%0%s 產生激烈的 %1 光芒，一會兒後就消失了。
string	$160	\f1%0%s %2 강렬하게 %1 빛났지만 다행히 아무 일도 없었습니다.	\f1%0%s %2 產生激烈的 %1 光芒，但是沒有任何事情發生。
string	$161	\f1%0%s %2 %1 빛납니다.	\f1%0%s %2 %1 光芒。
string	$162	\f1살갗이 따뜻해지는 느낌입니다.	\f1皮膚感覺到暖和。
string	$163	\f1살갗이 빛나더니 천천히 원래대로 돌아옵니다.	\f1你的皮膚紅光煥發，不久後就漸漸消失。
string	$164	\f1%0%s 강렬하게%1 빛나더니 증발되어 사라집니다.	\f1%0%s 強烈的發出%1光芒就消失了。
string	$165	\f1%0%s 강렬하게 떨리더니 증발되어 사라집니다.	\f1%0%s 強烈的顫抖後消失了。
string	$166	\f1%0%s %4%1%3 %2.	\f1%0%s %4%1%3 %2。
string	$167	\f1살갗이 근질거립니다.	\f1你的皮膚癢。
string	$168	\f1망토가 부스러져 먼지가 되었습니다.	\f1你的斗蓬破碎化為塵埃。
string	$169	\f1갑옷이 먼지가 되어 바닥에 떨어졌습니다.	\f1你的盔甲變成塵埃落地。
string	$170	\f1셔츠가 가는 실로 부스러져 떨어졌습니다.	\f1你的T恤破碎成線四散。
string	$171	\f1투구가 먼지가 되어 바람에 날려갑니다.	\f1你的鋼盔如爆炸般地破碎了。
string	$172	\f1장갑이 사라졌습니다.	\f1你的手套消失。
string	$173	\f1장화가 해체되었습니다.	\f1你的長靴分解。
string	$174	\f1방패가 부숴졌습니다.	\f1你的盾崩潰分散。
string	$175	\f1%0%s 진동합니다.	\f1%0%s 開始震動。
string	$176	\f1기분이 매우 좋아졌습니다.	\f1你感覺好多了。
string	$177	부활시킬 사람을 선택하십시오.	請選擇要復活的對象。
string	$178	\f1%0%s %1 혈맹을 탈퇴했습니다.	\f1%0%s退出 %1 血盟了。
string	$179	\f1대상을 선택하십시오.	\f1請選擇對象。
string	$180	변신할 괴물의 이름을 넣으십시오.	請輸入要變的怪物名稱。 
string	$181	\f1그런 괴물로는 변신할 수 없습니다.	\f1無法變成你指定的怪物。
string	$182	\f1%0%o 무장할 수 없습니다.	\f1%0%o 無法卸裝備。
string	$183	\f1다리에 새 힘이 솟습니다.	\f1你的腿得到新的能量。
string	$184	\f1갑자기 빠르게 움직입니다.	\f1你的動作突然變快。
string	$185	\f1느려지는 것을 느낍니다.	\f1你感覺你自己減慢下來。
string	$186	\f3%0%s 쫓겨났습니다.	\f3%0%s 被驅逐了。
string	$187	주민등록번호가 잘못되었습니다. 본인의 주민등록번호를 XXXXXX-OOOOOOO 형태로 입력하십시오.	身分證號碼不對。請輸入正確的身分證號碼。
string	$188	%0%s 당신을 혈맹 구성원으로 받아들일 수 없습니다.	%0%s 無法接受你成為該血盟成員。
string	$189	\f1아데나가 충분치 않습니다.	\f1金幣不足。
string	$190	\f1%0%d 사지 �습니다.	\f1%0%d 沒有購買。
string	$191	계정 정보가 잘못되었거나 계정이 정지되었습니다. %s 로 문의 바랍니다.	您的帳號目前無法使用，請至GASH會員中心『大事紀』查詢原因。GASH會員中心網址：  http://tw.gamania.com/
string	$192	시험 사용 기간이 끝났습니다. %s 에서 정식 등록을 하시기 바랍니다.	結束測試使用。請在 %s上正式登錄。
string	$193	사용 기간이 끝났습니다. "리니지 홈페이지(%s)" -> "이용 요금 결제" 에서 사용기간을 연장하시기 바랍니다.	您無法順利登入，可能原因如下：	使用期間結束了。請在GASH會員中心 (http://tw.gamania.com/)延長使用時間。
string	$194	신용 카드에 문제가 있습니다. %s 로 문의 바랍니다.	你的信用卡出問題。請至%s查詢一下。
string	$195	레벨 %0 미만 캐릭터는 채팅을 할 수 없습니다.	等級 %0 以下的角色無法使用公頻或買賣頻道。
string	$196	\f1다음과 같이 입력하십시오: "/호칭 \f0캐릭터이름 캐릭터 호칭\f1"	\f1請以如下的格式輸入。: "/title \f0角色名稱 角色封號\f1"
string	$197	\f1혈맹원일 경우 호칭을 가지려면 레벨 10 이상이어야 합니다.	\f1加入血盟之後等級10以上才可使用封號。
string	$198	\f1혈맹원에게 호칭을 줄 수 있는 것은 왕자 혹은 공주뿐입니다.	\f1王子或公主才可給血盟員封號。
string	$199	\f1혈맹원이 아니면 다른 사람에게 호칭을 줄 수 없습니다.	\f1除了王族以外的人，不能夠授與頭銜給其他人。
string	$200	\f1혈맹원이 아니면서 호칭을 가지려면 레벨 40 이상이어야 합니다.	\f1若等級40以上，沒有加入血盟也可擁有封號。
string	$201	\f1%0%d 당신 혈맹이 아닙니다.	\f1%0%d不是你的血盟成員。
string	$202	\f1%0의 레벨이 10 미만이라서 호칭을 줄 수 없습니다.	\f1%0的等級還不到10級，因此無法給封號。
string	$203	\f1%0%s %1에게 '%2'라는 호칭을 주었습니다.	\f1%0%s 賦予%1 '%2'的封號。
string	$204	\f1장소에 대한 이름이 너무 깁니다.	\f1所標記地點的名稱太長。
string	$205	\f1%0%d 현재 귓말을 듣고 있지 않습니다.	\f1%0%d 目前關閉悄悄話。
string	$206	맡긴다	託管
string	$207	찾는다	取回
string	$208	\f1혈맹창고를 사용하려면 혈맹이 있어야 합니다.	\f1若想使用血盟倉庫，必須加入血盟。
string	$209	\f1다른 혈맹원이 창고를 사용중입니다. 잠시 후에 다시 하십시오.	\f1血盟成員在使用倉庫。請稍後再使用。
string	$210	\f1%0%d 버리거나 남에게 줄 수 없습니다.	\f1%0%d是不可轉移的…
string	$211	\f1몸에서 독기운이 빠져나갑니다.	\f1解除毒氣。
string	$212	\f1몸이 서서히 마비되어 갑니다.	\f1你的身體漸漸麻痺。
string	$213	\f1몸이 완전히 마비되었습니다.	\f1你的身體完全麻痺了。
string	$214	\f1이곳을 기억할 수 없습니다.	\f1這個地點不能夠標記。
string	$215	\f1전투중에 순간이동할수 없습니다.	\f1戰鬥中無法使用瞬間移動。
string	$216	\f1배를 타고 싶으시면 새 버전을 다운로드 받아주십시오.	\f1若想坐船，請下載新版本。
string	$217	%0 혈맹의 %1이(가) 당신 혈맹과 전쟁을 원합니다. 응전하시겠습니까? (Y/N)	%0 血盟向你的血盟宣戰。是否接受？(Y/N) 
string	$218	\f1%0 혈맹 군주가 현재 사용중이 아닙니다.	\f1%0 血盟君主不在線上。
string	$219	\f1문장을 업로드할 수 있는 것은 왕자 혹은 공주뿐입니다.	\f1王子或公主才能上傳徽章。
string	$220	\f1혈맹이 있어야 문장을 업로드할 수 있습니다.	\f1你需要一個血盟才能上傳血盟的徽章。
string	$221	%0 혈맹이 항복하기를 원합니다. 받아들이시겠습니까? (Y/N)	%0 血盟要向你投降。是否接受？(Y/N)
string	$222	%0 혈맹이 전쟁을 끝내기를 원합니다. 승인하시겠습니까? (Y/N)	%0 血盟要結束戰爭。是否接受？(Y/N)
string	$223	%0 혈맹이 동맹을 원합니다. 받아들이시겠습니까? (Y/N)	%0 血盟要與你同盟。是否接受？(Y/N)
string	$224	%0 혈맹과 %1 혈맹이 동맹을 맺었습니다.	%0 血盟與 %1血盟成為同盟關係。
string	$225	%0 혈맹과 %1 혈맹간의 동맹이 깨어졌습니다.	毀掉%0 血盟與 %1血盟之間的同盟。
string	$226	%0 혈맹이 %1 혈맹에 전쟁을 선포했습니다.	%0 血盟向 %1血盟宣戰。
string	$227	%0 혈맹과 %1 혈맹간의 전쟁이 끝났습니다.	%0 血盟與 %1血盟之間的戰爭結束了。
string	$228	%0 혈맹이 %1 혈맹에 항복하였습니다.	%0 血盟向 %1 血盟投降了。
string	$229	\f1새문장을 업로드하기 위해서는 최소 1분이 경과한 후 시도해주십시오.	\f1為了上載新的徽章，需要1分鍾的時間，請1分鐘後再試試。
string	$230	랜턴에 기름을 새로 채웠습니다.	你在燈籠裡加滿了新的燈油。
string	$231	%0 혈맹이 %1 혈맹과의 전쟁에서 승리하였습니다.	%0 血盟贏了對 %1 血盟的戰爭。
string	$232	\f1레벨 15 이하의 군주는 전쟁을 선포할 수 없습니다.	\f1等級25以下的君主無法宣戰。
string	$233	\f1레벨 5 이하의 군주는 혈맹을 만들 수 없습니다.	\f1等級5以下無法創立血盟。
string	$234	\f1당신의 혈맹은 이미 전쟁 중입니다.	\f1你的血盟已經在戰爭中。
string	$235	\f1당신의 혈맹은 현재 %0 혈맹과 교전중입니다.	\f1目前你的血盟與 %0 血盟交戰當中。
string	$236	%0 혈맹이 당신의 혈맹과의 전쟁을 거절하였습니다.	%0 血盟拒絕你的宣戰。
string	$237	%0 혈맹이 당신의 제안을 거절하였습니다.	%0 血盟拒絕你的提案。
string	$238	당신은 %0 혈맹으로부터 추방되었습니다.	你被 %0 血盟驅逐了。
string	$239	군주의 허락이 없이는 혈맹을 탈퇴할 수 없습니다.	沒有君主的許可不能夠退出血盟。
string	$240	%0%o 당신의 혈맹에서 추방하였습니다.	%0%o 被你從你的血盟驅逐了。
string	$241	%0%s 당신을 변신시켰습니다.	%0%s 把你變身。
string	$242	현재 채팅 금지중입니다.	你從現在被禁止閒談。
string	$243	이미 등록된 주민등록번호입니다. 본인의 주민등록번호를 사용하십시오.	已經有人使用此身分證號碼。請輸入本人的身分證號碼。
string	$244	account@ncsoft.co.kr	call_center@gamania.com
string	$245	http://www.lineage.co.kr	http://www.lineage.com.tw/
string	$246	account@ncinteractive.com	call_center@gamania.com
string	$247	http://www.lineagethebloodpledge.com/	http://www.lineage.com.tw/
string	$248	현재 사용하시는 버전으로 게임을 할 수 없습니다. 자동 다운로드 버전을 실행시키겠습니다.	以目前使用的版本無法執行遊戲。開始執行自動下載版本。
string	$249	당신의 NetsGo id는 이미 사용중입니다. 지금은 로그인할 수 없습니다.	已經有人使用使用你的 NetsGo id。現在無法登入。
string	$250	주민등록 번호를 등록하시지 않으면 로그인 하실 수 없습니다.  http://www.lineage.co.kr/account.html에서 실명제 등록을 하시기 바랍니다.	若沒有輸入身分證號碼，無法登入。
string	$251	서버를 선택해 주십시오.	請選擇伺服器。
string	$252	%0%s 당신과 아이템 거래를 원합니다. 거래하시겠습니까? (Y/N)	\f2%0%s 要與你交易。願不願交易？ (Y/N)
string	$253	%0%d 당신과의 거래를 거절하였습니다.	%0%d 拒絕與你交易。
string	$254	%0와의 거래를 시작합니다...	與%0開始交易…
string	$255	\f1한번에 교환할 수 있는 아이템은 16개 까지입니다.	\f1你一次不能交換１６個以上的物品。
string	$256	\f1거래가 취소되었습니다.	\f1取消交易。
string	$257	거래가 완료되었습니다.	交易完成。
string	$258	\f1당신은 이미 다른 사람과 거래중입니다.	\f1你正在與別的人交易。
string	$259	\f1그는 이미 다른 사람과 거래중입니다.	\f1他正在與別的人交易。
string	$260	\f1거래할 사람이 없습니다.	\f1沒有交易的對象。
string	$261	\f1잘못된 명령어입니다.	\f1指令錯誤。
string	$262	%0%d 길을 잃어버리고 말았습니다.	%0%d迷路了。
string	$263	\f1한 캐릭터가 들고 다닐 수 있는 아이템의 최대 가짓수는 180개입니다.	\f1一個角色最多可攜帶180個道具。
string	$264	\f1당신의 클래스는 이 아이템을 사용할 수 없습니다.	\f1你的職業無法使用此裝備。
string	$265	배치할 용병을 선택해 주십시오.	請選擇要配置的傭兵。
string	$266	당신은 아직 준비되지 않았습니다만 %0혈맹과 싸우시겠습니까? (Y/N)	你尚未準備好。還是要與%0血盟戰爭嗎？(Y/N)
string	$267	%0혈맹은 성 안에 복병을 숨겨두고 있습니만 싸우시겠습니까? (Y/N)	%0血盟在城堡裡隱藏伏兵。是否接戰？(Y/N)
string	$268	\f1당신의 %0%s 손상되었습니다.	\f1你的%0%s壞了。
string	$269	%1혈맹의 혈맹주 %0%s 혈맹을 해산시켰습니다.	%1血盟的盟主解散%0%s 血盟。
string	$270	\f1들고 있는 물건이 무거워 거래를 할 수 없습니다.	\f1當你負擔過重時不能交易。
string	$271	\f1상대방이 물건을 너무 많이 들고 있어 거래를 할 수 없습니다.	\f1對方攜帶的物品過重，無法交易。
string	$272	\f1전쟁을 하기 위해서는 먼저 혈맹을 창설하셔야 합니다.	\f1若想要戰爭，首先必須創立血盟。
string	$273	오늘이 등록의 마지막 날입니다. 계속해서 게임을 하시고 싶으시면 %s에서 기간을 연장하시기 바랍니다.	您的使用期限剩最後一天。若想繼續玩遊戲，請在%s上儲值。
string	$274	사용기간이 2 일 남았습니다. %s에서 기간을 연장하시기 바랍니다.	您的使用期限剩下2天。請在%s上儲值。
string	$275	사용기간이 3 일 남았습니다. %s에서 기간을 연장하시기 바랍니다.	您的使用期限剩下3天。請在%s上儲值。
string	$276	\f1이곳에서는 무작위 텔레포트를 사용할 수 없습니다.	\f1在此無法使用傳送。
string	$277	\f1갑자기 천천히 움직입니다.	\f1你感到動作突然變慢。
string	$278	\f1MP가 부족하여 마법을 사용할 수 없습니다.	\f1因魔力不足而無法使用魔法。
string	$279	\f1HP가 부족하여 마법을 사용할 수 없습니다.	\f1因體力不足而無法使用魔法。
string	$280	\f1마법이 실패했습니다.	\f1施咒失敗。
string	$281	\f1마법이 무효화되었습니다.	\f1施咒取消。
string	$282	혈맹원을 선택하십시오.	選擇一個你血盟的成員。
string	$283	아이템을 선택하십시오.	請選擇一個物品。
string	$284	%0%s 당신에게 마법을 사용하였습니다.	%0%s 對你施法。
string	$285	\f1그 상태로는 마법을 사용할 수 없습니다.	\f1在此狀態下無法使用魔法。
string	$286	\f3게임에 적합하지 않은 행동으로 인해 앞으로 %0분간 채팅이 금지됩니다.	\f3因你不正當的行為而 %0分鐘之內無法交談。
string	$287	%0의 채팅을 금지시켰습니다.	你已經被禁止交談%0 分鐘。
string	$288	당신은 이제 채팅을 할 수 있습니다.	你現在已經可以交談了。
string	$289	어떠한 몬스터로 변신시키시겠습니까?	要創造哪種怪物？
string	$290	\f1시선 공격이 실패하였습니다.	\f1你的凝視攻擊失敗，目標不受影響。
string	$291	\f1당신의 몸이 빠르게 굳어갑니다.	\f1你的身體正在迅速痲痹。
string	$292	강해짐을 느낍니다.	你變得強壯。
string	$293	몸에서 힘이 빠져나가는 것을 느낍니다.	你變得虛弱。
string	$294	몸놀림이 가벼워지는 것을 느낍니다.	你變得敏捷。
string	$295	몸놀림이 무거워지는 것을 느낍니다.	你變得遲鈍。
string	$296	잠이 들어 버렸습니다.	你開始沈睡。
string	$297	가벼운 현기증을 느꼈습니다.	你感覺些微地暈眩。
